type_name,type_code,scenario,result,xml,adtg,roundtrip_xml,error_number,error_description
"DBTime","134","boundaries","ok","corpus/exhaustive/flat_DBTime_boundaries.xml","corpus/exhaustive/flat_DBTime_boundaries.adtg","corpus/exhaustive/flat_DBTime_boundaries.roundtrip.xml","",""
"DBTime","134","states","ok","corpus/exhaustive/flat_DBTime_states.xml","corpus/exhaustive/flat_DBTime_states.adtg","corpus/exhaustive/flat_DBTime_states.roundtrip.xml","",""
"DBTime","134","null_states","ok","corpus/exhaustive/flat_DBTime_null_states.xml","corpus/exhaustive/flat_DBTime_null_states.adtg","corpus/exhaustive/flat_DBTime_null_states.roundtrip.xml","",""
"DBTimeStamp","135","boundaries","ok","corpus/exhaustive/flat_DBTimeStamp_boundaries.xml","corpus/exhaustive/flat_DBTimeStamp_boundaries.adtg","corpus/exhaustive/flat_DBTimeStamp_boundaries.roundtrip.xml","",""
"DBTimeStamp","135","states","ok","corpus/exhaustive/flat_DBTimeStamp_states.xml","corpus/exhaustive/flat_DBTimeStamp_states.adtg","corpus/exhaustive/flat_DBTimeStamp_states.roundtrip.xml","",""
"DBTimeStamp","135","null_states","ok","corpus/exhaustive/flat_DBTimeStamp_null_states.xml","corpus/exhaustive/flat_DBTimeStamp_null_states.adtg","corpus/exhaustive/flat_DBTimeStamp_null_states.roundtrip.xml","",""
"FileTime","64","boundaries","ok","corpus/exhaustive/flat_FileTime_boundaries.xml","corpus/exhaustive/flat_FileTime_boundaries.adtg","corpus/exhaustive/flat_FileTime_boundaries.roundtrip.xml","",""
"FileTime","64","states","ok","corpus/exhaustive/flat_FileTime_states.xml","corpus/exhaustive/flat_FileTime_states.adtg","corpus/exhaustive/flat_FileTime_states.roundtrip.xml","",""
"FileTime","64","null_states","ok","corpus/exhaustive/flat_FileTime_null_states.xml","corpus/exhaustive/flat_FileTime_null_states.adtg","corpus/exhaustive/flat_FileTime_null_states.roundtrip.xml","",""
"GUID","72","boundaries","ok","corpus/exhaustive/flat_GUID_boundaries.xml","corpus/exhaustive/flat_GUID_boundaries.adtg","corpus/exhaustive/flat_GUID_boundaries.roundtrip.xml","",""
"GUID","72","states","ok","corpus/exhaustive/flat_GUID_states.xml","corpus/exhaustive/flat_GUID_states.adtg","corpus/exhaustive/flat_GUID_states.roundtrip.xml","",""
"GUID","72","null_states","ok","corpus/exhaustive/flat_GUID_null_states.xml","corpus/exhaustive/flat_GUID_null_states.adtg","corpus/exhaustive/flat_GUID_null_states.roundtrip.xml","",""
"BSTR","8","boundaries","ok","corpus/exhaustive/flat_BSTR_boundaries.xml","corpus/exhaustive/flat_BSTR_boundaries.adtg","corpus/exhaustive/flat_BSTR_boundaries.roundtrip.xml","",""
"BSTR","8","states","ok","corpus/exhaustive/flat_BSTR_states.xml","corpus/exhaustive/flat_BSTR_states.adtg","corpus/exhaustive/flat_BSTR_states.roundtrip.xml","",""
"BSTR","8","null_states","ok","corpus/exhaustive/flat_BSTR_null_states.xml","corpus/exhaustive/flat_BSTR_null_states.adtg","corpus/exhaustive/flat_BSTR_null_states.roundtrip.xml","",""
"Char","129","boundaries","ok","corpus/exhaustive/flat_Char_boundaries.xml","corpus/exhaustive/flat_Char_boundaries.adtg","corpus/exhaustive/flat_Char_boundaries.roundtrip.xml","",""
"Char","129","states","ok","corpus/exhaustive/flat_Char_states.xml","corpus/exhaustive/flat_Char_states.adtg","corpus/exhaustive/flat_Char_states.roundtrip.xml","",""
"Char","129","null_states","ok","corpus/exhaustive/flat_Char_null_states.xml","corpus/exhaustive/flat_Char_null_states.adtg","corpus/exhaustive/flat_Char_null_states.roundtrip.xml","",""
"WChar","130","boundaries","ok","corpus/exhaustive/flat_WChar_boundaries.xml","corpus/exhaustive/flat_WChar_boundaries.adtg","corpus/exhaustive/flat_WChar_boundaries.roundtrip.xml","",""
"WChar","130","states","ok","corpus/exhaustive/flat_WChar_states.xml","corpus/exhaustive/flat_WChar_states.adtg","corpus/exhaustive/flat_WChar_states.roundtrip.xml","",""
"WChar","130","null_states","ok","corpus/exhaustive/flat_WChar_null_states.xml","corpus/exhaustive/flat_WChar_null_states.adtg","corpus/exhaustive/flat_WChar_null_states.roundtrip.xml","",""
"VarChar","200","boundaries","ok","corpus/exhaustive/flat_VarChar_boundaries.xml","corpus/exhaustive/flat_VarChar_boundaries.adtg","corpus/exhaustive/flat_VarChar_boundaries.roundtrip.xml","",""
"VarChar","200","states","ok","corpus/exhaustive/flat_VarChar_states.xml","corpus/exhaustive/flat_VarChar_states.adtg","corpus/exhaustive/flat_VarChar_states.roundtrip.xml","",""
"VarChar","200","null_states","ok","corpus/exhaustive/flat_VarChar_null_states.xml","corpus/exhaustive/flat_VarChar_null_states.adtg","corpus/exhaustive/flat_VarChar_null_states.roundtrip.xml","",""
"VarWChar","202","boundaries","ok","corpus/exhaustive/flat_VarWChar_boundaries.xml","corpus/exhaustive/flat_VarWChar_boundaries.adtg","corpus/exhaustive/flat_VarWChar_boundaries.roundtrip.xml","",""
"VarWChar","202","states","ok","corpus/exhaustive/flat_VarWChar_states.xml","corpus/exhaustive/flat_VarWChar_states.adtg","corpus/exhaustive/flat_VarWChar_states.roundtrip.xml","",""
"VarWChar","202","null_states","ok","corpus/exhaustive/flat_VarWChar_null_states.xml","corpus/exhaustive/flat_VarWChar_null_states.adtg","corpus/exhaustive/flat_VarWChar_null_states.roundtrip.xml","",""
"LongVarChar","201","boundaries","ok","corpus/exhaustive/flat_LongVarChar_boundaries.xml","corpus/exhaustive/flat_LongVarChar_boundaries.adtg","corpus/exhaustive/flat_LongVarChar_boundaries.roundtrip.xml","",""
"LongVarChar","201","states","ok","corpus/exhaustive/flat_LongVarChar_states.xml","corpus/exhaustive/flat_LongVarChar_states.adtg","corpus/exhaustive/flat_LongVarChar_states.roundtrip.xml","",""
"LongVarChar","201","null_states","ok","corpus/exhaustive/flat_LongVarChar_null_states.xml","corpus/exhaustive/flat_LongVarChar_null_states.adtg","corpus/exhaustive/flat_LongVarChar_null_states.roundtrip.xml","",""
"LongVarWChar","203","boundaries","ok","corpus/exhaustive/flat_LongVarWChar_boundaries.xml","corpus/exhaustive/flat_LongVarWChar_boundaries.adtg","corpus/exhaustive/flat_LongVarWChar_boundaries.roundtrip.xml","",""
"LongVarWChar","203","states","ok","corpus/exhaustive/flat_LongVarWChar_states.xml","corpus/exhaustive/flat_LongVarWChar_states.adtg","corpus/exhaustive/flat_LongVarWChar_states.roundtrip.xml","",""
"LongVarWChar","203","null_states","ok","corpus/exhaustive/flat_LongVarWChar_null_states.xml","corpus/exhaustive/flat_LongVarWChar_null_states.adtg","corpus/exhaustive/flat_LongVarWChar_null_states.roundtrip.xml","",""
"Binary","128","boundaries","ok","corpus/exhaustive/flat_Binary_boundaries.xml","corpus/exhaustive/flat_Binary_boundaries.adtg","corpus/exhaustive/flat_Binary_boundaries.roundtrip.xml","",""
"Binary","128","states","ok","corpus/exhaustive/flat_Binary_states.xml","corpus/exhaustive/flat_Binary_states.adtg","corpus/exhaustive/flat_Binary_states.roundtrip.xml","",""
"Binary","128","null_states","ok","corpus/exhaustive/flat_Binary_null_states.xml","corpus/exhaustive/flat_Binary_null_states.adtg","corpus/exhaustive/flat_Binary_null_states.roundtrip.xml","",""
"VarBinary","204","boundaries","ok","corpus/exhaustive/flat_VarBinary_boundaries.xml","corpus/exhaustive/flat_VarBinary_boundaries.adtg","corpus/exhaustive/flat_VarBinary_boundaries.roundtrip.xml","",""
"VarBinary","204","states","ok","corpus/exhaustive/flat_VarBinary_states.xml","corpus/exhaustive/flat_VarBinary_states.adtg","corpus/exhaustive/flat_VarBinary_states.roundtrip.xml","",""
"VarBinary","204","null_states","ok","corpus/exhaustive/flat_VarBinary_null_states.xml","corpus/exhaustive/flat_VarBinary_null_states.adtg","corpus/exhaustive/flat_VarBinary_null_states.roundtrip.xml","",""
"LongVarBinary","205","boundaries","ok","corpus/exhaustive/flat_LongVarBinary_boundaries.xml","corpus/exhaustive/flat_LongVarBinary_boundaries.adtg","corpus/exhaustive/flat_LongVarBinary_boundaries.roundtrip.xml","",""
"LongVarBinary","205","states","ok","corpus/exhaustive/flat_LongVarBinary_states.xml","corpus/exhaustive/flat_LongVarBinary_states.adtg","corpus/exhaustive/flat_LongVarBinary_states.roundtrip.xml","",""
"LongVarBinary","205","null_states","ok","corpus/exhaustive/flat_LongVarBinary_null_states.xml","corpus/exhaustive/flat_LongVarBinary_null_states.adtg","corpus/exhaustive/flat_LongVarBinary_null_states.roundtrip.xml","",""
"Numeric","131","boundaries","ok","corpus/exhaustive/flat_Numeric_boundaries.xml","corpus/exhaustive/flat_Numeric_boundaries.adtg","corpus/exhaustive/flat_Numeric_boundaries.roundtrip.xml","",""
"Numeric","131","states","ok","corpus/exhaustive/flat_Numeric_states.xml","corpus/exhaustive/flat_Numeric_states.adtg","corpus/exhaustive/flat_Numeric_states.roundtrip.xml","",""
"Numeric","131","null_states","ok","corpus/exhaustive/flat_Numeric_null_states.xml","corpus/exhaustive/flat_Numeric_null_states.adtg","corpus/exhaustive/flat_Numeric_null_states.roundtrip.xml","",""
