case,stage,result,error_number,error_description
"empty_field_name","append","fail","3001","Arguments are of the wrong type, are out of acceptable range, or are in conflict with one another."
"duplicate_field_name","append","fail","3367","Object is already in collection. Cannot append."
"zero_fields","open","fail","3709","The connection cannot be used to perform this operation. It is either closed or invalid in this context."
